3	412	905
0	0	63.85750961303711	111.17457580566406
1	0	73.01963806152344	104.05919647216797
0	1	70.65546417236328	102.4178695678711
1	1	80.68816375732422	95.36109161376953
0	2	78.82107543945312	100.04779815673828
1	2	88.76445007324219	93.17904663085938
0	3	78.82107543945312	100.04779815673828
1	3	88.76445007324219	93.17904663085938
0	4	140.67056274414062	109.38204956054688
1	4	153.50656127929688	99.328857421875
0	5	143.81454467773438	113.16028594970703
1	5	156.69879150390625	102.94159698486328
0	6	149.6013946533203	114.85655212402344
1	6	162.93365478515625	104.37995147705078
0	7	155.9038848876953	114.76407623291016
1	7	169.6921844482422	103.81481170654297
0	8	162.51522827148438	123.37820434570312
1	8	177.0027618408203	112.55610656738281
0	9	166.16726684570312	119.03878021240234
1	9	180.64678955078125	108.08818054199219
0	10	182.81396484375	117.10533905029297
1	10	197.5956573486328	105.05915832519531
0	11	182.81396484375	117.10533905029297
1	11	197.5956573486328	105.05915832519531
0	12	185.5668487548828	132.34194946289062
1	12	201.2022247314453	119.98490905761719
0	13	202.6895751953125	97.37942504882812
1	13	216.58460998535156	83.80878448486328
2	13	189.82899475097656	190.90228271484375
0	14	218.32550048828125	97.88501739501953
1	14	232.74586486816406	82.91563415527344
0	15	266.8962097167969	99.21704864501953
1	15	293.78692626953125	81.88357543945312
2	15	262.177978515625	194.2405242919922
0	16	286.65045166015625	206.36033630371094
1	16	372.717041015625	258.04840087890625
2	16	350.70855712890625	244.7664794921875
0	17	287.9048767089844	192.13365173339844
1	17	374.1862487792969	245.46707153320312
2	17	352.7838134765625	228.8556671142578
0	18	287.9048767089844	192.13365173339844
1	18	374.1862487792969	245.46707153320312
2	18	352.7838134765625	228.8556671142578
0	19	291.74365234375	235.87144470214844
1	19	376.90142822265625	284.39837646484375
2	19	354.35528564453125	279.8973083496094
0	20	291.74365234375	235.87144470214844
1	20	376.90142822265625	284.39837646484375
2	20	354.35528564453125	279.8973083496094
0	21	294.4567565917969	329.0667724609375
1	21	377.62738037109375	366.39080810546875
2	21	352.2850646972656	395.2300109863281
0	22	291.63970947265625	193.83067321777344
1	22	377.9443054199219	246.53416442871094
2	22	356.8904113769531	230.58807373046875
0	23	296.3920593261719	264.9257507324219
1	23	380.836181640625	309.89813232421875
0	24	298.8905334472656	283.4526672363281
1	24	382.8341064453125	326.0570068359375
0	25	294.4776916503906	55.60401916503906
1	25	384.6769714355469	119.52681732177734
2	25	368.5206298828125	78.99920654296875
0	26	303.236083984375	277.33343505859375
1	26	387.22515869140625	320.75262451171875
0	27	299.685546875	96.96602630615234
1	27	388.2671203613281	157.3617706298828
0	28	299.0164489746094	61.98161315917969
1	28	389.06768798828125	124.78253173828125
2	28	372.9234313964844	85.80827331542969
0	29	303.58856201171875	192.4540557861328
1	29	389.7060241699219	244.429443359375
0	30	299.6333312988281	47.463035583496094
1	30	389.8345031738281	111.3189697265625
0	31	302.1770324707031	121.49122619628906
1	31	390.21246337890625	179.32818603515625
0	32	303.2891845703125	94.90663146972656
1	32	391.9082946777344	155.17129516601562
2	32	375.3719482421875	120.97604370117188
0	33	307.5539855957031	230.01780700683594
1	33	392.28753662109375	278.1402587890625
0	34	306.98687744140625	192.89450073242188
1	34	393.00372314453125	244.949462890625
2	34	374.07550048828125	229.99139404296875
0	35	304.37213134765625	43.960060119628906
1	35	394.6131591796875	107.490234375
0	36	314.77056884765625	329.1228942871094
1	36	397.9781799316406	365.1405029296875
0	37	320.0439147949219	325.3979797363281
1	37	402.63116455078125	361.6792907714844
2	37	382.1158142089844	389.91571044921875
0	38	319.2442321777344	245.050048828125
1	38	403.5758056640625	290.99871826171875
2	38	385.10052490234375	291.07012939453125
0	39	320.3568115234375	240.76016235351562
1	39	404.79742431640625	287.3314208984375
2	39	386.36846923828125	286.0101013183594
0	40	315.0537109375	41.27484130859375
1	40	405.0489196777344	104.295654296875
2	40	390.43115234375	65.29493713378906
0	41	321.61334228515625	240.1161651611328
1	41	406.1750793457031	286.41510009765625
2	41	387.9996032714844	285.11199951171875
0	42	325.6360168457031	331.6687927246094
1	42	407.78228759765625	366.6018371582031
0	43	322.1211242675781	168.4374237060547
1	43	408.48529052734375	221.98098754882812
